IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
ULBP2;;;;;;CTD-2012K14.7;;;;;;;;
WDR23;;;;;;RP11-16E23.4;;;;;;;;
COASY;;;;;;RP11-553L6.5;;;;;;;;
TTYH3;;;;;;PMF1-BGLAP;;;;;;;;
AC084125.1;;;;;;SLX1B-SULT1A4;;;;;;;;
TSEN2;;;;;;RP11-600F24.7;;;;;;;;
AARSD1;;;;;;RP11-395I6.3;;;;;;;;
TMEM121;;;;;;RP11-386M24.6;;;;;;;;
KHDC1;;;;;;RP11-521I2.3;;;;;;;;
STARD5;;;;;;SCXA;;;;;;;;
LIMD2;;;;;;RP11-480G7.2;;;;;;;;
TMEM177;;;;;;CTD-2547L24.4;;;;;;;;
B9D2;;;;;;RP11-363E7.4;;;;;;;;
EEPD1;;;;;;RP11-690I21.2;;;;;;;;
SH3BP5L;;;;;;RP11-343H19.1;;;;;;;;
GRIP2;;;;;;CTD-2165H16.4;;;;;;;;
JHDM1D;;;;;;LA16c-329F2.1;;;;;;;;
PRRT1;;;;;;TUBB8;;;;;;;;
CLPTM1L;;;;;;AP000265.1;;;;;;;;
OR51E2;;;;;;RP11-6O2.3;;;;;;;;
MOB2;;;;;;RP5-1042I8.7;;;;;;;;
VOPP1;;;;;;HPR;;;;;;;;
FAM49A;;;;;;RP11-90P13.1;;;;;;;;
CSRNP2;;;;;;RP11-223I10.1;;;;;;;;
C9orf45;;;;;;RP11-81A22.5;;;;;;;;
FAM83D;;;;;;LA16c-390H2.4;;;;;;;;
CAB39L;;;;;;RP11-334C17.5;;;;;;;;
ITM2C;;;;;;SPON1;;;;;;;;
KAZALD1;;;;;;RP11-849I19.1;;;;;;;;
CCNL2;;;;;;ATP5A1P3;;;;;;;;
PPP1R14C;;;;;;RP5-890E16.2;;;;;;;;
NETO2;;;;;;NOTCH2NL;;;;;;;;
NETO1;;;;;;RP11-192H23.8;;;;;;;;
SPRY4;;;;;;RP11-728E14.3;;;;;;;;
ST6GALNAC5;;;;;;FCGR1C;;;;;;;;
QTRT1;;;;;;RPL17;;;;;;;;
SEH1L;;;;;;TXNIP;;;;;;;;
PITPNM3;;;;;;GDF10;;;;;;;;
GLT8D2;;;;;;SH3GL1P1;;;;;;;;
SCRT1;;;;;;FXYD1;;;;;;;;
NUF2;;;;;;AC005336.4;;;;;;;;
RILP;;;;;;CTD-2246P4.1;;;;;;;;
RASSF5;;;;;;CTD-2319I12.4;;;;;;;;
CCM2;;;;;;AC139100.2;;;;;;;;
AMMECR1L;;;;;;SCARNA17;;;;;;;;
ZMIZ2;;;;;;MIR24-2;;;;;;;;
C11orf68;;;;;;MIR497HG;;;;;;;;
CCDC3;;;;;;ZNF725P;;;;;;;;
CD99L2;;;;;;AC137932.1;;;;;;;;
ATG10;;;;;;CTD-3138B18.5;;;;;;;;
L3MBTL2;;;;;;CTC-273B12.10;;;;;;;;
SYT16;;;;;;RP3-467L1.6;;;;;;;;
RSPH3;;;;;;RP11-482M8.3;;;;;;;;
GPR61;;;;;;RP11-73M18.7;;;;;;;;
CDCA7;;;;;;RP11-73M18.8;;;;;;;;
TTC29;;;;;;RP11-218C14.8;;;;;;;;
NCALD;;;;;;TERC;;;;;;;;
CTTNBP2;;;;;;AC015849.2;;;;;;;;
KREMEN1;;;;;;HIST1H4A;;;;;;;;
WDR54;;;;;;UNGP3;;;;;;;;
GPR98;;;;;;HIST1H4A;;;;;;;;
FAM160A2;;;;;;LPP-AS2;;;;;;;;
KBTBD7;;;;;;RP11-138A9.1;;;;;;;;
ARL6;;;;;;RP11-324I22.4;;;;;;;;
PCGF6;;;;;;MMP28;;;;;;;;
TOMM40L;;;;;;AC243547.1;;;;;;;;
SYDE2;;;;;;MILR1;;;;;;;;
MYST1;;;;;;RP11-259K5.1;;;;;;;;
PPP1R1B;;;;;;XXcos-LUCA11.4;;;;;;;;
RPF2;;;;;;RP11-722E23.2;;;;;;;;
ARID5B;;;;;;RP11-5C23.1;;;;;;;;
MEX3B;;;;;;RP11-725P16.2;;;;;;;;
ZNF541;;;;;;RP11-798M19.6;;;;;;;;
WDR24;;;;;;RP11-33M22.2;;;;;;;;
MAF1;;;;;;SLC5A3;;;;;;;;
TMEM126A;;;;;;RP11-1246C19.1;;;;;;;;
MRI1;;;;;;RP11-83A24.2;;;;;;;;
LDOC1L;;;;;;RP11-448A19.1;;;;;;;;
GARNL3;;;;;;RP11-383I23.2;;;;;;;;
CAMKK1;;;;;;;;;;;;;;
SLC37A3;;;;;;;;;;;;;;
FBXW9;;;;;;;;;;;;;;
PSMG3;;;;;;;;;;;;;;
POLR3GL;;;;;;;;;;;;;;
POLDIP3;;;;;;;;;;;;;;
NICN1;;;;;;;;;;;;;;
ZDHHC16;;;;;;;;;;;;;;
AC010422.1;;;;;;;;;;;;;;
TMEM246;;;;;;;;;;;;;;
CHCHD6;;;;;;;;;;;;;;
NUDT22;;;;;;;;;;;;;;
PDCD2L;;;;;;;;;;;;;;
C7orf50;;;;;;;;;;;;;;
MRPL45;;;;;;;;;;;;;;
VPS25;;;;;;;;;;;;;;
THOC3;;;;;;;;;;;;;;
C16orf13;;;;;;;;;;;;;;
DYDC2;;;;;;;;;;;;;;
COG8;;;;;;;;;;;;;;
GPR123;;;;;;;;;;;;;;
RAB11FIP4;;;;;;;;;;;;;;
ABLIM2;;;;;;;;;;;;;;
MAP3K19;;;;;;;;;;;;;;
EFCAB7;;;;;;;;;;;;;;
L3MBTL3;;;;;;;;;;;;;;
NEURL4;;;;;;;;;;;;;;
JPH4;;;;;;;;;;;;;;
HOPX;;;;;;;;;;;;;;
RHOXF2;;;;;;;;;;;;;;
KIAA1853;;;;;;;;;;;;;;
MCHR2;;;;;;;;;;;;;;
FAXC;;;;;;;;;;;;;;
SLC12A8;;;;;;;;;;;;;;
PARD6B;;;;;;;;;;;;;;
ZGPAT;;;;;;;;;;;;;;
ST6GAL2;;;;;;;;;;;;;;
KRBA1;;;;;;;;;;;;;;
TTBK1;;;;;;;;;;;;;;
DGAT2;;;;;;;;;;;;;;
CSPG4P2Y;;;;;;;;;;;;;;
PPP1R9B;;;;;;;;;;;;;;
C9orf24;;;;;;;;;;;;;;
SPATA22;;;;;;;;;;;;;;
CAPS2;;;;;;;;;;;;;;
GPT2;;;;;;;;;;;;;;
BEX2;;;;;;;;;;;;;;
LNX1;;;;;;;;;;;;;;
PIGO;;;;;;;;;;;;;;
FAM167B;;;;;;;;;;;;;;
PPAPDC3;;;;;;;;;;;;;;
C6orf105;;;;;;;;;;;;;;
USMG5;;;;;;;;;;;;;;
KLHL22;;;;;;;;;;;;;;
TMEM25;;;;;;;;;;;;;;
PTPN5;;;;;;;;;;;;;;
AGBL4;;;;;;;;;;;;;;
ZBTB45;;;;;;;;;;;;;;
ADO;;;;;;;;;;;;;;
LINGO1;;;;;;;;;;;;;;
TBRG1;;;;;;;;;;;;;;
CIRH1A;;;;;;;;;;;;;;
FIZ1;;;;;;;;;;;;;;
SPRYD3;;;;;;;;;;;;;;
C8orf76;;;;;;;;;;;;;;
C12orf52;;;;;;;;;;;;;;
C13orf33;;;;;;;;;;;;;;
CORO6;;;;;;;;;;;;;;
MAEL;;;;;;;;;;;;;;
LTV1;;;;;;;;;;;;;;
MPND;;;;;;;;;;;;;;
IGSF21;;;;;;;;;;;;;;
LSM10;;;;;;;;;;;;;;
PNMA6A;;;;;;;;;;;;;;
C20orf100;;;;;;;;;;;;;;
ATG4D;;;;;;;;;;;;;;
C3orf34;;;;;;;;;;;;;;
PPP1R16A;;;;;;;;;;;;;;
UBL7;;;;;;;;;;;;;;
C18orf45;;;;;;;;;;;;;;
REPS1;;;;;;;;;;;;;;
ATCAY;;;;;;;;;;;;;;
KIAA1644;;;;;;;;;;;;;;
SHANK3;;;;;;;;;;;;;;
FAM40A;;;;;;;;;;;;;;
TUBGCP6;;;;;;;;;;;;;;
KIAA1671;;;;;;;;;;;;;;
ZFHX2;;;;;;;;;;;;;;
C1orf222;;;;;;;;;;;;;;
AC010896.1;;;;;;;;;;;;;;
NAV3;;;;;;;;;;;;;;
FCHSD1;;;;;;;;;;;;;;
ATG16L2;;;;;;;;;;;;;;
ZNF628;;;;;;;;;;;;;;
UBE3B;;;;;;;;;;;;;;
C16orf45;;;;;;;;;;;;;;
PHLDB2;;;;;;;;;;;;;;
C9ORF69;;;;;;;;;;;;;;
KCNH7;;;;;;;;;;;;;;
BTBD6;;;;;;;;;;;;;;
ZSWIM1;;;;;;;;;;;;;;
UNC5A;;;;;;;;;;;;;;
C5orf30;;;;;;;;;;;;;;
TMEM41A;;;;;;;;;;;;;;
ATP6V1E2;;;;;;;;;;;;;;
ZNF622;;;;;;;;;;;;;;
C6orf142;;;;;;;;;;;;;;
C19orf52;;;;;;;;;;;;;;
LYRM7;;;;;;;;;;;;;;
STARD13;;;;;;;;;;;;;;
LINC00473;;;;;;;;;;;;;;
N4BP2L1;;;;;;;;;;;;;;
LRSAM1;;;;;;;;;;;;;;
LOC90784;;;;;;;;;;;;;;
TMEM55B;;;;;;;;;;;;;;
SPSB3;;;;;;;;;;;;;;
ZNF697;;;;;;;;;;;;;;
KIFC2;;;;;;;;;;;;;;
AP5B1;;;;;;;;;;;;;;
SLC39A13;;;;;;;;;;;;;;
C12orf29;;;;;;;;;;;;;;
XRCC6BP1;;;;;;;;;;;;;;
RNF185;;;;;;;;;;;;;;
SGK493;;;;;;;;;;;;;;
COL23A1;;;;;;;;;;;;;;
UBXN11;;;;;;;;;;;;;;
PLXNA4;;;;;;;;;;;;;;
SYT12;;;;;;;;;;;;;;
IDI2;;;;;;;;;;;;;;
CHRDL1;;;;;;;;;;;;;;
TTC5;;;;;;;;;;;;;;
FDXACB1;;;;;;;;;;;;;;
CXorf40A;;;;;;;;;;;;;;
C19orf20;;;;;;;;;;;;;;
MTDH;;;;;;;;;;;;;;
ACPL2;;;;;;;;;;;;;;
CCDC64;;;;;;;;;;;;;;
TIFA;;;;;;;;;;;;;;
C2orf39;;;;;;;;;;;;;;
FP588;;;;;;;;;;;;;;
COQ10A;;;;;;;;;;;;;;
C13orf27;;;;;;;;;;;;;;
DMKN;;;;;;;;;;;;;;
AC007688.2;;;;;;;;;;;;;;
IGSF8;;;;;;;;;;;;;;
PGAP3;;;;;;;;;;;;;;
SYCE1;;;;;;;;;;;;;;
FBXO44;;;;;;;;;;;;;;
MRFAP1;;;;;;;;;;;;;;
CADPS2;;;;;;;;;;;;;;
ACRC;;;;;;;;;;;;;;
FOXP2;;;;;;;;;;;;;;
TMEM203;;;;;;;;;;;;;;
TSGA14;;;;;;;;;;;;;;
EGLN2;;;;;;;;;;;;;;
PRRT2;;;;;;;;;;;;;;
SAT2;;;;;;;;;;;;;;
MRAP2;;;;;;;;;;;;;;
C14orf179;;;;;;;;;;;;;;
FDX1L;;;;;;;;;;;;;;
VPS26B;;;;;;;;;;;;;;
GLB1L3;;;;;;;;;;;;;;
RPUSD1;;;;;;;;;;;;;;
CDCA5;;;;;;;;;;;;;;
ADAT3;;;;;;;;;;;;;;
GLCCI1;;;;;;;;;;;;;;
HELQ;;;;;;;;;;;;;;
ADPRHL1;;;;;;;;;;;;;;
MFSD3;;;;;;;;;;;;;;
TRIM9;;;;;;;;;;;;;;
PRO2852;;;;;;;;;;;;;;
NLRP3;;;;;;;;;;;;;;
MAL2;;;;;;;;;;;;;;
SLC22A9;;;;;;;;;;;;;;
BTBD9;;;;;;;;;;;;;;
LMTK3;;;;;;;;;;;;;;
XKR4;;;;;;;;;;;;;;
CSMD3;;;;;;;;;;;;;;
TMEM132B;;;;;;;;;;;;;;
AC093734.11;;;;;;;;;;;;;;
SLITRK1;;;;;;;;;;;;;;
RNF157;;;;;;;;;;;;;;
SORCS1;;;;;;;;;;;;;;
PNMA5;;;;;;;;;;;;;;
SMYD4;;;;;;;;;;;;;;
OSBPL10;;;;;;;;;;;;;;
NT5C3L;;;;;;;;;;;;;;
SLC25A26;;;;;;;;;;;;;;
GEFT;;;;;;;;;;;;;;
C16orf75;;;;;;;;;;;;;;
DNTTIP1;;;;;;;;;;;;;;
KLHDC3;;;;;;;;;;;;;;
ZMYND19;;;;;;;;;;;;;;
SNAP47;;;;;;;;;;;;;;
RPL3P2;;;;;;;;;;;;;;
WDR17;;;;;;;;;;;;;;
AGAP2;;;;;;;;;;;;;;
SH2D1B;;;;;;;;;;;;;;
SSX2IP;;;;;;;;;;;;;;
OLFM3;;;;;;;;;;;;;;
MUCL1;;;;;;;;;;;;;;
CHCHD1;;;;;;;;;;;;;;
FAM24A;;;;;;;;;;;;;;
MORN4;;;;;;;;;;;;;;
ZFYVE27;;;;;;;;;;;;;;
GSTO2;;;;;;;;;;;;;;
CLRN3;;;;;;;;;;;;;;
OR52K2;;;;;;;;;;;;;;
FAT3;;;;;;;;;;;;;;
C11orf46;;;;;;;;;;;;;;
OR2D2;;;;;;;;;;;;;;
TMEM132D;;;;;;;;;;;;;;
RHEBL1;;;;;;;;;;;;;;
C13orf16;;;;;;;;;;;;;;
C14orf79;;;;;;;;;;;;;;
NAA30;;;;;;;;;;;;;;
JDP2;;;;;;;;;;;;;;
ACOT4;;;;;;;;;;;;;;
TC2N;;;;;;;;;;;;;;
MTFMT;;;;;;;;;;;;;;
C15orf27;;;;;;;;;;;;;;
WHAMM;;;;;;;;;;;;;;
ZC3H18;;;;;;;;;;;;;;
FAM100A;;;;;;;;;;;;;;
EARS2;;;;;;;;;;;;;;
OVCA2;;;;;;;;;;;;;;
HEXIM2;;;;;;;;;;;;;;
SGK494;;;;;;;;;;;;;;
TTC39C;;;;;;;;;;;;;;
OSCAR;;;;;;;;;;;;;;
NTN5;;;;;;;;;;;;;;
ZNF573;;;;;;;;;;;;;;
TNFAIP8L1;;;;;;;;;;;;;;
ZNF57;;;;;;;;;;;;;;
C19orf28;;;;;;;;;;;;;;
LRRC38;;;;;;;;;;;;;;
PUSL1;;;;;;;;;;;;;;
KLHDC9;;;;;;;;;;;;;;
LRRC39;;;;;;;;;;;;;;
C1orf102;;;;;;;;;;;;;;
C1orf216;;;;;;;;;;;;;;
WDR64;;;;;;;;;;;;;;
VSTM2L;;;;;;;;;;;;;;
ZNF831;;;;;;;;;;;;;;
CHMP4B;;;;;;;;;;;;;;
EMID1;;;;;;;;;;;;;;
ANKRD54;;;;;;;;;;;;;;
AC010087.3;;;;;;;;;;;;;;
CNTNAP5;;;;;;;;;;;;;;
FBLN7;;;;;;;;;;;;;;
C2orf77;;;;;;;;;;;;;;
FAM168B;;;;;;;;;;;;;;
ACVR1C;;;;;;;;;;;;;;
UBR3;;;;;;;;;;;;;;
ZNF513;;;;;;;;;;;;;;
LYPD6;;;;;;;;;;;;;;
LYPD6B;;;;;;;;;;;;;;
TMEM198;;;;;;;;;;;;;;
CPO;;;;;;;;;;;;;;
CPNE4;;;;;;;;;;;;;;
LYZL4;;;;;;;;;;;;;;
FAM131A;;;;;;;;;;;;;;
METTL6;;;;;;;;;;;;;;
RTP1;;;;;;;;;;;;;;
SYNPR;;;;;;;;;;;;;;
OCIAD2;;;;;;;;;;;;;;
TMEM155;;;;;;;;;;;;;;
PPARGC1B;;;;;;;;;;;;;;
UBE2QL1;;;;;;;;;;;;;;
ANKRD43;;;;;;;;;;;;;;
C6orf59;;;;;;;;;;;;;;
RP11-63L7.1;;;;;;;;;;;;;;
ZNF786;;;;;;;;;;;;;;
EMID2;;;;;;;;;;;;;;
C7orf57;;;;;;;;;;;;;;
MTPN;;;;;;;;;;;;;;
FAM92A1;;;;;;;;;;;;;;
SGCZ;;;;;;;;;;;;;;
UBXN2B;;;;;;;;;;;;;;
UNC5D;;;;;;;;;;;;;;
ANKRD19P;;;;;;;;;;;;;;
OR1N2;;;;;;;;;;;;;;
SLITRK4;;;;;;;;;;;;;;
MUM1L1;;;;;;;;;;;;;;
PNCK;;;;;;;;;;;;;;
ASB6;;;;;;;;;;;;;;
ZNF358;;;;;;;;;;;;;;
SLC32A1;;;;;;;;;;;;;;
CBLN4;;;;;;;;;;;;;;
C20orf132;;;;;;;;;;;;;;
RIMS4;;;;;;;;;;;;;;
ZSWIM3;;;;;;;;;;;;;;
SIRPA;;;;;;;;;;;;;;
DUSP19;;;;;;;;;;;;;;
TRUB1;;;;;;;;;;;;;;
MPP7;;;;;;;;;;;;;;
FRMPD2;;;;;;;;;;;;;;
HECTD2;;;;;;;;;;;;;;
PRICKLE1;;;;;;;;;;;;;;
CPNE8;;;;;;;;;;;;;;
GLT1D1;;;;;;;;;;;;;;
B3GALTL;;;;;;;;;;;;;;
ABHD12B;;;;;;;;;;;;;;
TTC7B;;;;;;;;;;;;;;
LYSMD4;;;;;;;;;;;;;;
FAM81A;;;;;;;;;;;;;;
AC069029.1;;;;;;;;;;;;;;
C15orf61;;;;;;;;;;;;;;
ZSCAN29;;;;;;;;;;;;;;
VWA3A;;;;;;;;;;;;;;
FBXL16;;;;;;;;;;;;;;
CCDC64B;;;;;;;;;;;;;;
ZNF785;;;;;;;;;;;;;;
MGAT5B;;;;;;;;;;;;;;
B3GNTL1;;;;;;;;;;;;;;
AC021534.2;;;;;;;;;;;;;;
RTN4RL1;;;;;;;;;;;;;;
WDR16;;;;;;;;;;;;;;
ODF4;;;;;;;;;;;;;;
KIF18B;;;;;;;;;;;;;;
RUNDC1;;;;;;;;;;;;;;
EME1;;;;;;;;;;;;;;
AC126544.1;;;;;;;;;;;;;;
WIPF2;;;;;;;;;;;;;;
CBLN2;;;;;;;;;;;;;;
ZNF563;;;;;;;;;;;;;;
ZNF582;;;;;;;;;;;;;;
TTC9B;;;;;;;;;;;;;;
TICAM1;;;;;;;;;;;;;;
ZNRF4;;;;;;;;;;;;;;
DIRAS1;;;;;;;;;;;;;;
RP4-758J18.2;;;;;;;;;;;;;;
SAMD13;;;;;;;;;;;;;;
C1orf51;;;;;;;;;;;;;;
SLC35F3;;;;;;;;;;;;;;
MFSD4;;;;;;;;;;;;;;
C1ORF213;;;;;;;;;;;;;;
GLIS1;;;;;;;;;;;;;;
ZNF362;;;;;;;;;;;;;;
CNIH3;;;;;;;;;;;;;;
FAM78B;;;;;;;;;;;;;;
PDIK1L;;;;;;;;;;;;;;
COMMD7;;;;;;;;;;;;;;
C21orf128;;;;;;;;;;;;;;
AIFM3;;;;;;;;;;;;;;
MORC2-AS1;;;;;;;;;;;;;;
AC017096.1;;;;;;;;;;;;;;
AC013402.2;;;;;;;;;;;;;;
FBXO41;;;;;;;;;;;;;;
LINC00342;;;;;;;;;;;;;;
LOC151009;;;;;;;;;;;;;;
ZNF385B;;;;;;;;;;;;;;
CCNYL1;;;;;;;;;;;;;;
KLHL23;;;;;;;;;;;;;;
SLC38A11;;;;;;;;;;;;;;
FAM84A;;;;;;;;;;;;;;
FAM82A1;;;;;;;;;;;;;;
MSL3P1;;;;;;;;;;;;;;
UPP2;;;;;;;;;;;;;;
GPR155;;;;;;;;;;;;;;
CPNE9;;;;;;;;;;;;;;
C3orf59;;;;;;;;;;;;;;
NEK10;;;;;;;;;;;;;;
LOC152217;;;;;;;;;;;;;;
CIDECP;;;;;;;;;;;;;;
PAQR3;;;;;;;;;;;;;;
JAKMIP1;;;;;;;;;;;;;;
C4orf45;;;;;;;;;;;;;;
C4orf23;;;;;;;;;;;;;;
TMEM161B;;;;;;;;;;;;;;
ARSK;;;;;;;;;;;;;;
SH3RF2;;;;;;;;;;;;;;
RNF145;;;;;;;;;;;;;;
PNLDC1;;;;;;;;;;;;;;
PRSS2;;;;;;;;;;;;;;
AC004863.6;;;;;;;;;;;;;;
CRYGN;;;;;;;;;;;;;;
ATP6V0E2;;;;;;;;;;;;;;
AC068353.1;;;;;;;;;;;;;;
ANKRD46;;;;;;;;;;;;;;
FBXO16;;;;;;;;;;;;;;
RP11-403C10.2;;;;;;;;;;;;;;
VPS13B;;;;;;;;;;;;;;
LINGO2;;;;;;;;;;;;;;
LOC158696;;;;;;;;;;;;;;
GRASP;;;;;;;;;;;;;;
MDGA2;;;;;;;;;;;;;;
ADAD2;;;;;;;;;;;;;;
ZFP1;;;;;;;;;;;;;;
FAM134C;;;;;;;;;;;;;;
ZNF497;;;;;;;;;;;;;;
DEDD2;;;;;;;;;;;;;;
ZNF564;;;;;;;;;;;;;;
ZNF540;;;;;;;;;;;;;;
PPAPR5;;;;;;;;;;;;;;
WDR69;;;;;;;;;;;;;;
LONRF2;;;;;;;;;;;;;;
C1QL2;;;;;;;;;;;;;;
DQX1;;;;;;;;;;;;;;
SPTSSB;;;;;;;;;;;;;;
PRICKLE2;;;;;;;;;;;;;;
KLHDC6;;;;;;;;;;;;;;
BBS12;;;;;;;;;;;;;;
DCP2;;;;;;;;;;;;;;
AC114947.2;;;;;;;;;;;;;;
TXLNB;;;;;;;;;;;;;;
GALNTL5;;;;;;;;;;;;;;
SEPHS1P1;;;;;;;;;;;;;;
BMPER;;;;;;;;;;;;;;
C9orf96;;;;;;;;;;;;;;
ARX;;;;;;;;;;;;;;
SSBP4;;;;;;;;;;;;;;
ADAMTS17;;;;;;;;;;;;;;
KCNG3;;;;;;;;;;;;;;
ZNF721;;;;;;;;;;;;;;
ANKRD24;;;;;;;;;;;;;;
ZNF384;;;;;;;;;;;;;;
ADAMTS19;;;;;;;;;;;;;;
ASXL1;;;;;;;;;;;;;;
SYNPO2;;;;;;;;;;;;;;
RHOV;;;;;;;;;;;;;;
PGAM5;;;;;;;;;;;;;;
SCAMP5;;;;;;;;;;;;;;
EMX2OS;;;;;;;;;;;;;;
AMN1;;;;;;;;;;;;;;
DTX3;;;;;;;;;;;;;;
METTL7B;;;;;;;;;;;;;;
C12orf53;;;;;;;;;;;;;;
C13orf39;;;;;;;;;;;;;;
MGC23284;;;;;;;;;;;;;;
ZNF627;;;;;;;;;;;;;;
U2AF1L4;;;;;;;;;;;;;;
FAM209A;;;;;;;;;;;;;;
CREG2;;;;;;;;;;;;;;
PIKFYVE;;;;;;;;;;;;;;
SPRED2;;;;;;;;;;;;;;
KCTD6;;;;;;;;;;;;;;
DHRS7C;;;;;;;;;;;;;;
CENPV;;;;;;;;;;;;;;
C17orf108;;;;;;;;;;;;;;
AMZ2P1;;;;;;;;;;;;;;
ZNF324B;;;;;;;;;;;;;;
FAM153B;;;;;;;;;;;;;;
KHDRBS2;;;;;;;;;;;;;;
ADCK5;;;;;;;;;;;;;;
C9orf91;;;;;;;;;;;;;;
CCDC107;;;;;;;;;;;;;;
ANO5;;;;;;;;;;;;;;
SLC44A5;;;;;;;;;;;;;;
FAM123C;;;;;;;;;;;;;;
C2orf69;;;;;;;;;;;;;;
KIAA2018;;;;;;;;;;;;;;
TRIML2;;;;;;;;;;;;;;
YPEL4;;;;;;;;;;;;;;
MED19;;;;;;;;;;;;;;
STOX1;;;;;;;;;;;;;;
GJD4;;;;;;;;;;;;;;
RTKN2;;;;;;;;;;;;;;
HYLS1;;;;;;;;;;;;;;
TPCN2;;;;;;;;;;;;;;
SPATA19;;;;;;;;;;;;;;
ATOH7;;;;;;;;;;;;;;
AC107983.3;;;;;;;;;;;;;;
RASGEF1A;;;;;;;;;;;;;;
ALKBH3;;;;;;;;;;;;;;
FAM162B;;;;;;;;;;;;;;
TDRD6;;;;;;;;;;;;;;
C6orf154;;;;;;;;;;;;;;
RBM24;;;;;;;;;;;;;;
PHACTR1;;;;;;;;;;;;;;
SYCP2L;;;;;;;;;;;;;;
ZNF498;;;;;;;;;;;;;;
JAZF1;;;;;;;;;;;;;;
SDK1;;;;;;;;;;;;;;
FOXK1;;;;;;;;;;;;;;
DAGLB;;;;;;;;;;;;;;
VSTM2A;;;;;;;;;;;;;;
DKFZP586I1420;;;;;;;;;;;;;;
NAPEPLD;;;;;;;;;;;;;;
ATXN7L1;;;;;;;;;;;;;;
SLC35F1;;;;;;;;;;;;;;
TMEM130;;;;;;;;;;;;;;
GAS2L2;;;;;;;;;;;;;;
AKR7A2P1;;;;;;;;;;;;;;
PELI3;;;;;;;;;;;;;;
TMEM9;;;;;;;;;;;;;;
FNDC5;;;;;;;;;;;;;;
EPHX4;;;;;;;;;;;;;;
EIF4E1B;;;;;;;;;;;;;;
CADM2;;;;;;;;;;;;;;
C6orf191;;;;;;;;;;;;;;
LASS6;;;;;;;;;;;;;;
LOC253842;;;;;;;;;;;;;;
C20orf200;;;;;;;;;;;;;;
ASPHD1;;;;;;;;;;;;;;
LRRC43;;;;;;;;;;;;;;
EHBP1L1;;;;;;;;;;;;;;
SNX32;;;;;;;;;;;;;;
FBXO33;;;;;;;;;;;;;;
CNIH2;;;;;;;;;;;;;;
LPCAT4;;;;;;;;;;;;;;
C8orf46;;;;;;;;;;;;;;
ZDHHC23;;;;;;;;;;;;;;
CALHM1;;;;;;;;;;;;;;
LRRC57;;;;;;;;;;;;;;
C10orf93;;;;;;;;;;;;;;
MBLAC1;;;;;;;;;;;;;;
COL24A1;;;;;;;;;;;;;;
TCTEX1D2;;;;;;;;;;;;;;
TMEM188;;;;;;;;;;;;;;
PAN3;;;;;;;;;;;;;;
LYSMD2;;;;;;;;;;;;;;
NEGR1;;;;;;;;;;;;;;
HSPA12A;;;;;;;;;;;;;;
NSUN5C;;;;;;;;;;;;;;
STEAP2;;;;;;;;;;;;;;
NPHP4;;;;;;;;;;;;;;
SLC25A5P1;;;;;;;;;;;;;;
LINC00094;;;;;;;;;;;;;;
HS6ST3;;;;;;;;;;;;;;
C11orf31;;;;;;;;;;;;;;
RAB40AL;;;;;;;;;;;;;;
STK32C;;;;;;;;;;;;;;
SLC25A45;;;;;;;;;;;;;;
LOC283143;;;;;;;;;;;;;;
BCL9L;;;;;;;;;;;;;;
LOC283174;;;;;;;;;;;;;;
C12orf64;;;;;;;;;;;;;;
CD163L1;;;;;;;;;;;;;;
MORN3;;;;;;;;;;;;;;
FLJ33996;;;;;;;;;;;;;;
DPY19L2;;;;;;;;;;;;;;
GAS2L3;;;;;;;;;;;;;;
C12orf51;;;;;;;;;;;;;;
ZDHHC22;;;;;;;;;;;;;;
KIAA0284;;;;;;;;;;;;;;
AC116165.2;;;;;;;;;;;;;;
NOMO2;;;;;;;;;;;;;;
C16orf91;;;;;;;;;;;;;;
CCDC57;;;;;;;;;;;;;;
FAM171A2;;;;;;;;;;;;;;
AC120024.1;;;;;;;;;;;;;;
GDPD1;;;;;;;;;;;;;;
METRNL;;;;;;;;;;;;;;
CYP4F35P;;;;;;;;;;;;;;
KCTD1;;;;;;;;;;;;;;
PRR19;;;;;;;;;;;;;;
LRRC68;;;;;;;;;;;;;;
VSTM1;;;;;;;;;;;;;;
MIR7-3HG;;;;;;;;;;;;;;
SLC25A42;;;;;;;;;;;;;;
LOC284441;;;;;;;;;;;;;;
OR2L13;;;;;;;;;;;;;;
ANKRD34A;;;;;;;;;;;;;;
C1orf204;;;;;;;;;;;;;;
RIMKLA;;;;;;;;;;;;;;
DNAJC5G;;;;;;;;;;;;;;
FAM126B;;;;;;;;;;;;;;
C2orf21;;;;;;;;;;;;;;
DUSP28;;;;;;;;;;;;;;
RPUSD3;;;;;;;;;;;;;;
PRRT3;;;;;;;;;;;;;;
AC021850.1;;;;;;;;;;;;;;
COX18;;;;;;;;;;;;;;
RNF175;;;;;;;;;;;;;;
FAM153A;;;;;;;;;;;;;;
RELL2;;;;;;;;;;;;;;
AC091878.1;;;;;;;;;;;;;;
PPIL6;;;;;;;;;;;;;;
LY86-AS1;;;;;;;;;;;;;;
DLX6-AS1;;;;;;;;;;;;;;
AC078937.4;;;;;;;;;;;;;;
TPI1P2;;;;;;;;;;;;;;
EFHA2;;;;;;;;;;;;;;
